ID,NAME,PositionMain,Position2,Position3,Position4,Position5,side,Position,height,dominanthand,offense,defense,power,stamina,speed,acceleration,reflexes,quickness,dribblingaccuracy,dribblingspeed,passaccuracy,passspeed,3paccuracy,3pspeed,shootccuracy,shootdistance,shoottechnique,freethrow,curve,dunk,jump,technique,mentality,aggressive,alignment,condition,oppositeaccuracy,oppositefrequency,specialabilitiy1,specialabilitiy2,specialabilitiy3,specialabilitiy4,specialabilitiy5,specialabilitiy6,specialabilitiy7,specialabilitiy8,specialabilitiy9,specialabilitiy10,specialabilitiy11,specialabilitiy12,specialabilitiy13,specialabilitiy14,specialabilitiy15,specialabilitiy16,specialabilitiy17,specialabilitiy18,specialabilitiy19,specialabilitiy20,specialabilitiy22
11,アレシャンドレ・パト,ST,CF,OMF,,,,B,179,右,88,65,75,81,87,93,86,94,86,93,80,73,76,78,85,86,84,80,74,81,84,86,74,87,73,4,7,6,〇,,,,,,〇,〇,,,〇,,〇,,〇,,,,,,
12,アグエロ,ST,CF,,,,,B,172,右,88,65,81,78,91,94,91,91,86,90,77,80,71,70,87,81,85,77,75,82,94,87,65,86,74,5,5,5,〇,,〇,,,,〇,〇,〇,,〇,,〇,,〇,,,,,,
13,イブラヒモヴィッチ,CF,ST,,,,,B,192,右,93,65,95,72,87,78,76,79,92,81,84,83,72,77,87,92,95,81,80,76,76,92,73,81,74,6,6,5,☆,〇,,,,〇,〇,〇,〇,,〇,,〇,,☆,〇,,,,,
14,テベス,ST,CF,OMF,SMF,,両,A,170,右,87,70,81,95,75,81,86,86,87,80,84,86,77,76,84,75,86,78,79,80,79,85,88,79,78,5,6,5,,〇,☆,〇,,〇,〇,〇,〇,☆,,,,〇,〇,〇,☆,,,,
15,マルセリーニョ・パライーバ,ST,OMF,SMF,,,左,B,175,左,83,70,75,84,78,84,78,86,85,83,86,89,79,74,83,85,84,89,83,71,78,87,83,86,76,4,4,4,〇,,,〇,,〇,〇,〇,,〇,〇,,,〇,,〇,,,,,
16,シャビ,CMF,OMF,SMF,DMF,,両,B,170,右,86,74,72,94,71,74,76,82,89,75,95,92,89,84,79,74,76,85,82,75,78,86,81,72,95,8,5,4,,☆,,,☆,〇,,〇,,,,,,〇,〇,〇,,,,,
17,マイコン,SB,SMF,WB,,,右,B,184,右,80,77,78,92,87,80,75,76,82,87,76,82,91,84,79,80,79,78,85,75,84,81,75,78,86,8,5,4,〇,,,〇,,☆,,,,〇,〇,☆,,〇,〇,,,,,〇,
18,イニエスタ,CMF,ST,WG,OMF,SMF,左,C,170,右,87,71,71,91,72,84,79,87,95,88,91,91,84,73,83,76,81,77,76,66,70,93,75,79,94,5,8,6,,☆,,〇,☆,〇,,〇,,〇,,,,,〇,〇,,,,,
19,アンリ,CF,ST,WG,,,両,C,188,右,87,65,80,72,83,79,76,73,85,85,83,82,82,84,88,85,85,86,89,68,77,89,82,79,82,4,6,5,〇,,,〇,,〇,〇,〇,〇,〇,〇,,,,,〇,,,,,
20,セードルフ,OMF,SMF,CMF,DMF,,両,B,176,右,83,72,84,88,72,74,76,77,87,82,88,90,87,87,80,86,78,77,81,73,77,87,76,74,91,5,6,5,,☆,,☆,☆,〇,,〇,,,☆,,,〇,〇,〇,,,☆,,
21,ランパード,CMF,OMF,,,,,A,183,右,85,71,81,78,68,73,89,73,77,73,84,93,83,88,88,91,84,80,76,80,70,78,88,80,93,8,6,5,,,☆,〇,〇,,,☆,,〇,☆,,〇,〇,〇,〇,,,,,
22,デル・ピエーロ,ST,OMF,,,,,B,173,右,90,68,72,73,71,74,78,76,90,77,86,78,83,73,89,73,87,92,94,76,75,92,92,75,86,5,6,5,,〇,,〇,,,〇,〇,,〇,,,〇,〇,〇,〇,,,,,
23,フォルラン,CF,ST,OMF,,,,C,180,右,90,69,74,75,80,84,89,79,76,79,83,81,81,81,93,86,89,80,77,73,71,79,82,89,74,7,7,7,,,☆,,,〇,〇,〇,,☆,☆,,〇,〇,〇,〇,,,,,
24,スナイデル,OMF,SMF,CMF,,,逆,B,170,右,85,70,71,81,72,78,81,85,81,74,87,85,92,89,83,85,80,94,93,67,70,85,77,75,79,5,8,6,,〇,,〇,〇,〇,,〇,,〇,☆,,,〇,〇,〇,,,,,
25,シルバ,OMF,ST,SMF,CMF,,両,B,170,左,85,69,71,85,80,83,78,92,89,85,87,87,82,81,83,79,82,77,79,65,73,87,75,81,79,6,4,4,☆,〇,,〇,,〇,,☆,,〇,〇,,,,〇,☆,,,,,
26,ファン・ベルシー,CF,ST,WG,OMF,,両,C,183,左,89,65,75,72,78,75,73,78,82,80,86,86,85,88,88,89,84,82,92,74,71,86,70,87,74,5,6,5,,〇,,,,〇,〇,〇,,,〇,,,,〇,〇,,,,,
27,ロベルト・カルロス,SB,SMF,WB,,,両,B,168,右,79,71,70,77,82,81,75,82,73,86,76,88,87,92,75,91,72,85,92,66,88,79,82,82,82,7,2,2,〇,,,〇,,,,,,〇,〇,〇,,,〇,,,,,,
28,ルイス・ガルシア,ST,CF,OMF,SMF,,左,C,180,左,84,69,74,79,82,82,81,84,81,81,84,78,80,84,85,74,82,85,83,75,83,82,75,79,83,6,5,5,,〇,,〇,,,〇,〇,,〇,,,,〇,〇,〇,,,,,
29,ルイス・ガルシア,ST,OMF,SMF,,,両,B,177,左,83,70,73,76,75,84,84,84,76,81,78,80,77,81,83,74,84,82,81,88,75,86,78,87,88,7,6,6,,,,〇,,,〇,〇,,〇,,,,〇,〇,,,,,,
30,バロテッリ,ST,OMF,,,,,B,189,右,84,65,83,72,83,86,75,79,84,81,83,84,85,82,81,86,82,87,88,75,83,86,65,80,65,3,5,6,,〇,,,,〇,〇,,〇,,〇,,〇,,〇,〇,,,,,
31,イグアイン,CF,ST,OMF,SMF,,右,A,184,右,90,68,79,75,85,81,85,80,76,84,76,76,75,72,90,84,89,82,79,74,74,84,80,87,80,6,6,5,〇,,,〇,,,〇,〇,〇,〇,〇,,,〇,,,,,,,
32,スタンコヴィッチ,OMF,SMF,CMF,DMF,,両,B,181,右,83,71,76,87,75,78,83,79,77,80,81,86,82,78,83,86,82,78,77,81,78,81,83,74,88,6,5,6,,,,☆,〇,〇,,〇,,,☆,,,〇,〇,〇,,,☆,,
33,リベリー,SMF,ST,WG,OMF,,両,B,170,右,86,69,71,78,84,92,71,88,87,92,83,87,82,82,82,73,79,79,83,68,73,84,74,82,78,4,6,6,☆,〇,,〇,,〇,,〇,,〇,,,,,〇,☆,,,,,
34,アルシャヴィン,ST,CF,WG,OMF,SMF,利,C,172,右,86,70,80,88,84,86,79,88,92,86,83,75,81,73,86,75,84,75,75,65,70,82,80,80,84,8,8,8,☆,〇,,〇,,,〇,〇,〇,〇,,,,〇,〇,☆,,,,,
35,フェルナンド・トーレス,CF,,,,,,B,185,右,89,65,79,72,82,82,89,78,78,84,76,77,73,72,92,81,90,74,72,85,85,81,78,87,80,5,5,5,〇,,,☆,,,〇,〇,〇,☆,〇,,〇,〇,〇,,,,,,
36,アネルカ,ST,CF,WG,,,両,A,185,右,89,69,74,79,83,76,85,78,82,83,82,79,77,77,91,83,82,75,75,76,83,86,70,77,89,5,7,6,〇,,☆,〇,,,〇,〇,,☆,〇,,,,〇,〇,,,,,
37,セスク,CMF,OMF,SMF,,,両,C,180,右,84,72,72,90,71,75,79,81,85,77,88,87,87,83,85,78,79,79,82,71,70,88,81,75,88,7,6,5,,☆,☆,〇,☆,〇,,☆,,〇,,,,〇,〇,〇,,,,,
38,マヌエル・バルガス,SB,WG,SMF,WB,,左,B,185,左,80,71,84,84,82,80,70,76,80,87,73,83,88,92,75,91,79,85,81,71,77,77,85,82,66,7,4,4,〇,,,,,,,,,,〇,〇,,〇,,,,,,,
39,ミッコリ,ST,CF,WG,,,左,B,168,左,84,65,76,79,84,89,76,87,82,85,80,82,80,82,80,81,84,82,81,74,70,84,82,85,70,6,5,5,☆,〇,,,,〇,〇,☆,〇,,〇,,,〇,〇,,,,,,
40,ギグス,OMF,ST,WG,SMF,CMF,左,B,180,右,86,69,72,71,71,74,74,76,89,84,88,88,90,86,83,82,79,84,89,73,70,86,80,82,82,4,5,4,☆,〇,,〇,,〇,,☆,,〇,〇,,,〇,〇,〇,,,,,
41,ファン・デル・ファールト,OMF,CF,ST,CMF,DMF,,C,175,左,84,69,71,72,71,73,82,77,85,75,88,86,86,87,84,79,91,86,89,74,75,87,79,80,79,3,5,4,,〇,☆,〇,〇,〇,,☆,,〇,,,〇,〇,,〇,,,,,
42,デ・ロッシ,CMF,DMF,,,,,C,184,右,78,80,82,84,73,72,87,73,78,73,85,86,84,82,77,85,81,76,76,85,87,80,80,73,82,6,7,6,,,,,〇,〇,,,,,〇,,〇,〇,,〇,〇,,,〇,
43,ベンゼマ,CF,ST,WG,,,両,A,182,右,85,65,78,77,83,78,86,78,82,81,80,83,73,75,85,84,84,80,76,82,74,84,77,84,80,4,6,5,,〇,,〇,,〇,〇,〇,〇,〇,〇,,,〇,,,,,,,
44,エッシェン,CMF,OMF,SMF,SB,CB,右,B,178,右,78,78,86,97,81,84,87,80,73,78,79,84,77,77,73,86,75,74,75,77,91,76,76,74,84,7,5,5,,,,☆,,,,,,,,,,,,,,〇,☆,〇,〇
45,ジョー・コール,OMF,ST,WG,SMF,,両,B,176,右,81,70,74,76,81,82,78,84,88,86,86,89,82,83,78,73,78,76,79,65,82,86,75,85,78,4,6,5,〇,,,〇,〇,〇,,,,〇,,,,〇,〇,〇,,,,,
46,グルキュフ,OMF,ST,SMF,CMF,,両,C,185,右,82,70,78,83,70,72,75,80,84,77,87,87,88,90,81,74,85,91,89,79,74,82,73,74,73,8,7,6,,〇,,,〇,〇,,,,,,,,,,〇,,,,,
47,デコ,CMF,OMF,,,,,B,174,右,84,73,76,79,69,75,76,78,86,73,91,91,84,85,82,85,77,87,83,69,70,89,72,73,90,4,5,5,,☆,,,☆,〇,,,,,〇,,〇,,〇,〇,,,,,
48,ロッベン,WG,ST,SMF,,,両,C,181,左,87,65,73,71,91,88,73,86,88,96,80,84,82,83,77,81,75,80,81,70,70,84,71,90,65,3,3,3,☆,〇,☆,,,☆,,☆,,☆,〇,,,,〇,,,,,,
49,デフォー,CF,ST,,,,,A,169,右,85,65,71,73,85,87,92,95,77,81,78,73,75,74,87,85,88,77,75,75,76,82,71,91,74,5,6,5,,,,,,,〇,〇,,,〇,,〇,,〇,,,,,,
50,カッサーノ,ST,OMF,,,,,B,175,右,89,65,75,73,73,77,75,80,90,85,90,82,88,78,83,73,82,84,86,71,72,94,75,79,70,4,6,5,,,,,☆,☆,,〇,,,,,☆,〇,〇,〇,,,,,
51,ルイス・ゴンサレス,OMF,SMF,CMF,WB,,逆,B,185,右,82,73,77,83,75,74,75,74,79,80,82,82,81,80,83,83,82,82,80,80,76,77,84,77,89,7,5,5,,,☆,〇,〇,〇,,☆,,〇,〇,,,〇,,,,,,,
52,カンビアッソ,DMF,CMF,CB,,,,B,177,左,73,87,78,92,71,73,90,75,78,73,84,85,84,83,75,79,75,80,76,84,80,77,84,70,92,7,6,5,,,,,〇,〇,,,,,,,〇,,〇,〇,☆,,☆,〇,
53,ピルロ,CMF,OMF,DMF,,,,B,177,右,83,77,73,87,69,70,75,73,88,70,89,91,95,81,76,77,75,93,95,69,70,88,76,71,89,5,7,7,,〇,,,☆,☆,,,,,,,〇,,〇,〇,,,,,
54,ディエゴ・ミリート,CF,,,,,左,C,183,左,92,65,77,77,73,78,95,77,78,75,76,72,72,66,94,76,93,75,75,85,81,81,80,89,82,7,7,6,,,,☆,,,〇,〇,〇,☆,,,〇,〇,〇,,,,,,
55,ラウール,ST,CF,OMF,SMF,,逆,A,180,右,86,70,72,82,69,72,91,75,81,70,84,81,77,73,92,69,88,77,76,83,76,85,88,88,89,5,5,5,,〇,☆,〇,,〇,〇,〇,,☆,,,,〇,〇,〇,☆,,,,
56,ナニ,WG,OMF,SMF,,,両,B,175,右,81,70,72,84,87,87,73,93,85,91,76,78,82,80,75,78,77,76,79,65,85,84,75,82,71,4,6,6,☆,〇,,,,,,,,,,,,〇,☆,,,,,,
57,パク・チソン,SMF,ST,WG,OMF,CMF,両,B,178,右,82,72,75,87,83,85,87,84,78,80,83,83,78,74,81,71,79,79,75,79,70,79,85,75,89,7,6,6,,,,☆,,〇,,〇,,〇,,,,〇,〇,〇,,,☆,,
58,マキシ・ロドリゲス,SMF,ST,OMF,WB,,両,B,180,右,83,70,73,83,83,83,78,79,78,80,86,81,82,82,83,82,79,83,79,68,74,79,80,77,84,6,5,5,,,,〇,〇,〇,,〇,,〇,〇,,,〇,,〇,,,,,
59,ファン・セバスティアン・ベロン,CMF,OMF,DMF,,,,B,182,右,80,71,79,76,69,70,76,71,82,71,89,86,93,91,77,86,77,86,89,76,71,88,81,71,86,6,5,4,,〇,,,〇,〇,,,,,〇,,〇,〇,〇,〇,,,,,
60,ベラミー,ST,WG,SMF,,,両,C,175,右,85,69,70,89,93,92,82,87,73,88,73,77,75,77,79,74,78,76,78,70,78,70,84,93,74,4,6,6,☆,,☆,,,,〇,〇,,☆,,,,〇,,,☆,,,,
61,ロナウド,CF,,,,,,C,183,右,88,65,85,70,80,87,93,73,84,84,75,75,72,70,95,84,92,74,75,72,70,86,74,90,70,2,7,7,〇,,,,,,〇,〇,〇,,〇,,〇,,〇,,,,,,
62,セルヒオ・ラモス,CB,SB,,,,両,B,183,右,75,81,82,84,81,82,86,75,76,82,75,82,82,83,72,81,77,74,75,85,87,75,81,79,72,7,5,4,,,,,,,,,,,,,,,,,〇,〇,,,〇
63,マルコス・セナ,CMF,DMF,,,,,B,177,右,76,80,79,91,74,70,86,75,73,72,84,85,82,82,77,86,73,90,85,72,81,77,84,70,84,7,6,5,,,,,〇,〇,,,,,〇,,〇,〇,〇,〇,☆,,☆,〇,
64,ハムシク,CMF,OMF,SMF,DMF,,両,B,183,右,81,71,76,86,75,76,76,74,81,81,83,87,82,85,84,82,81,80,83,73,72,81,80,73,83,7,7,7,,〇,☆,,〇,〇,,☆,,,〇,,,〇,〇,〇,,,,,
65,ラベッシ,ST,CF,,,,,B,173,左,85,65,76,87,87,89,75,90,83,88,75,73,75,77,82,82,83,77,79,69,73,82,72,85,69,5,5,5,☆,〇,,,,,〇,,,,〇,,〇,,,☆,,,,,
66,パンデフ,ST,CF,OMF,,,,A,184,右,85,65,77,77,80,82,82,80,83,81,81,81,77,76,82,79,83,84,81,70,76,82,77,81,78,5,4,4,,〇,,〇,,〇,〇,〇,〇,〇,,,〇,〇,,,,,,,
67,ジョゼッペ・ロッシ,ST,CF,,,,,B,173,左,86,65,72,76,82,87,82,91,83,84,82,75,79,71,84,84,83,82,77,72,72,82,74,82,71,4,6,6,〇,,,,,,〇,〇,,,〇,,〇,,〇,〇,,,,,
68,ロシツキー,OMF,ST,SMF,CMF,,両,C,178,右,83,71,71,73,77,83,75,82,88,80,89,89,87,84,75,79,77,78,83,69,68,88,72,72,84,3,7,5,,☆,,,☆,〇,,,,,,,,,〇,〇,,,,,
69,ディ・ナターレ,ST,CF,WG,SMF,,両,B,170,右,88,65,68,74,79,82,81,82,85,85,85,76,85,74,90,69,86,80,85,74,75,85,74,82,74,6,6,5,〇,,,,,,〇,〇,,,,,,,〇,〇,,,,,
70,シモン,SMF,ST,WG,OMF,,両,C,170,右,84,70,70,75,76,82,72,84,85,84,83,79,84,83,81,81,79,87,87,67,72,84,78,75,80,6,6,6,☆,〇,,〇,,,,☆,,〇,〇,,,〇,〇,〇,,,,,
71,シャビ・アロンソ,DMF,CMF,,,,,B,183,右,76,78,80,87,69,70,79,70,74,70,90,95,94,89,77,87,76,80,78,74,73,77,84,69,89,7,5,5,,,,,☆,☆,,,,,〇,,〇,〇,〇,〇,,,〇,〇,
72,タッディ,SMF,WG,OMF,CMF,,両,B,177,右,81,70,72,86,78,81,78,83,81,83,78,82,82,80,77,77,80,76,79,71,81,81,78,79,84,4,5,6,,〇,,〇,,,,,,〇,,,,〇,〇,,,,,,
73,ジュリオ・バチスタ,ST,CF,OMF,SMF,CMF,両,B,187,右,83,70,87,79,78,75,86,75,76,75,75,85,72,72,84,87,91,80,78,82,85,77,71,81,76,4,5,5,,,☆,〇,,,〇,☆,〇,〇,〇,,,,,,,,,,
74,キヴ,SW,CMF,DMF,SB,CB,左,C,184,左,71,87,79,81,71,74,84,74,73,75,81,87,81,81,72,87,73,87,88,75,85,79,83,72,84,5,4,4,,,,,〇,〇,,,,,,,,,〇,〇,,,〇,〇,
75,ヂエゴ・リバス,OMF,ST,CMF,,,,B,173,右,84,69,78,81,74,78,74,82,90,84,90,80,86,81,83,73,78,84,85,65,70,90,73,75,70,4,5,5,,☆,,,☆,,,,,,,,〇,,〇,〇,,,,,
76,リサンドロ・ロペス,CF,ST,WG,,,両,A,174,右,87,69,76,80,75,78,88,86,77,83,74,75,71,72,89,78,86,76,77,81,79,78,75,82,82,6,5,5,〇,,☆,〇,,,〇,〇,〇,☆,,,,〇,〇,,,,,,
77,シュバインシュタイガー,OMF,SMF,CMF,DMF,,逆,B,183,右,81,75,76,92,72,73,83,73,77,80,83,88,82,82,80,86,77,80,82,70,71,84,76,74,82,6,5,5,,,,,〇,〇,,〇,,,☆,,,〇,〇,〇,,,,,
78,リケルメ,OMF,,,,,,B,182,右,84,69,77,70,70,70,73,70,89,70,94,92,91,86,86,80,80,95,88,71,69,90,71,70,74,5,6,6,,〇,,,☆,☆,,〇,,,〇,,☆,,〇,〇,,,,,
79,ヤクインタ,ST,CF,SMF,,,両,B,191,右,85,70,85,78,81,74,82,70,73,79,72,80,71,77,82,89,84,77,70,87,84,74,84,79,85,6,5,5,,,,〇,,,〇,〇,〇,〇,〇,,,〇,,,,,,,
80,ビセンテ,SMF,WG,,,,左,C,175,左,81,70,70,71,88,84,75,84,84,92,74,79,87,91,79,80,76,83,82,68,68,80,74,84,74,3,6,5,〇,,,,,,,,,,〇,〇,,,,,,,,,
81,フレブ,SMF,ST,OMF,CMF,,利,A,185,右,82,70,74,83,80,86,75,85,82,91,84,84,81,80,72,76,73,75,76,69,69,89,75,79,85,3,8,8,☆,〇,,〇,,〇,,☆,,〇,,,,,〇,☆,,,,,
82,マウロ・サラテ,ST,CF,,,,,B,173,右,84,65,74,73,83,90,76,88,85,88,82,82,77,73,82,75,82,85,79,71,72,82,71,87,65,4,7,7,☆,〇,,,,〇,〇,☆,,,,,〇,,,☆,,,,,
83,バシュテュルク,OMF,ST,CMF,,,,C,169,右,81,70,76,84,78,77,74,87,86,84,85,87,77,77,81,79,79,82,77,75,74,83,76,73,74,5,5,5,〇,,,,,〇,,〇,,,〇,,〇,〇,,〇,,,,,
84,アルテタ,OMF,SMF,CMF,,,両,C,175,右,78,72,72,78,75,78,74,83,82,78,88,78,90,78,77,77,75,88,87,71,73,84,79,74,87,4,6,5,,☆,,,☆,,,,,,,,,〇,〇,〇,,,,,
85,ルシオ,SW,CB,,,,,B,188,右,74,92,91,76,82,71,93,71,74,81,76,81,72,73,72,88,74,75,75,89,80,74,84,77,77,7,5,5,,,,☆,,,,,,〇,,,,,,,〇,〇,〇,〇,
86,パッツィーニ,CF,ST,,,,,A,180,右,85,65,75,77,78,84,87,81,75,77,75,79,72,75,85,77,86,73,72,83,85,80,72,86,82,6,6,6,,,,〇,,,☆,〇,☆,〇,,,〇,,〇,,,,,,
87,ベルバトフ,ST,CF,,,,,B,188,右,88,65,82,70,78,73,76,75,88,70,86,82,72,71,86,82,88,77,76,81,82,91,75,77,77,5,5,5,,〇,,,,〇,〇,〇,〇,〇,〇,,〇,,,〇,,,,,
88,ムトゥ,ST,WG,OMF,SMF,,両,C,180,右,87,68,72,72,79,80,74,79,86,80,75,80,81,82,83,81,79,89,87,70,77,86,71,82,67,4,5,5,☆,〇,,,,,〇,☆,,,〇,,,,〇,,,,,,
89,スコールズ,CMF,ST,OMF,,,,B,170,右,75,76,75,77,69,72,82,73,80,72,87,86,88,87,79,83,79,76,75,84,74,85,81,70,90,4,5,5,,,☆,,〇,〇,,☆,,,〇,,〇,〇,,〇,,,〇,〇,
90,ムニティス,ST,WG,OMF,SMF,,両,A,169,左,83,70,73,80,76,82,85,85,82,81,80,79,75,77,83,75,79,78,75,71,78,81,82,77,80,7,6,5,,〇,☆,〇,,,〇,☆,,〇,,,,〇,〇,,,,,,
91,ロッキ,CF,ST,WG,,,両,C,177,右,85,69,73,78,81,84,89,80,72,79,73,78,75,77,87,73,87,70,70,82,76,77,85,82,85,6,5,6,,,,☆,,,〇,〇,,☆,,,,〇,,,,,,,
92,ライト・フィリップス,SMF,WG,OMF,CMF,WB,両,B,166,右,81,71,70,76,92,92,78,93,79,83,78,73,74,81,77,84,77,74,74,69,77,74,82,80,80,5,6,5,☆,,,〇,,,,,,☆,〇,,,〇,,,,,,,
93,ウェンデル,SMF,WB,DMF,SB,,左,B,184,左,76,71,74,82,72,77,81,80,74,82,79,80,83,83,79,78,82,89,89,67,75,77,79,73,82,5,4,4,,,,,〇,〇,,〇,,,,,,〇,〇,,,,,,
94,アラン・スミス,ST,CF,SMF,CMF,,右,C,178,右,79,70,76,84,75,80,87,80,77,81,74,75,75,71,78,81,84,75,77,86,88,77,78,74,82,4,6,5,,,,,,,,,,,〇,,,〇,,,☆,,,,〇
95,ニアン,ST,CF,WG,SMF,,両,C,178,右,83,69,77,82,84,86,81,81,77,85,73,79,72,73,79,76,83,75,68,76,85,76,83,77,82,6,5,5,〇,,☆,〇,,,〇,,〇,☆,,,,〇,,,,,,,
96,ヨヴェティッチ,ST,OMF,SMF,,,両,B,183,右,81,68,77,77,75,79,78,83,85,79,84,81,77,80,80,75,80,79,83,71,77,83,74,79,73,5,6,6,,〇,,,,〇,〇,〇,〇,,,,,,,〇,,,,,
97,ディウフ,ST,CF,WG,SMF,,両,B,180,右,81,69,73,82,84,83,79,78,82,76,82,83,77,80,79,78,80,80,79,70,78,85,74,75,76,5,6,6,,〇,,〇,,〇,〇,,,〇,,,,,〇,〇,,,,,
98,ジェラール・ピケ,CB,,,,,,A,192,右,69,91,86,78,74,71,87,72,75,73,82,86,85,89,73,75,73,73,73,85,82,77,79,69,82,7,6,5,,,,☆,☆,☆,,,,,,,,,〇,〇,〇,,〇,〇,
99,ラウール・メイレレス,CMF,OMF,,,,,B,179,右,74,73,75,86,71,74,85,79,73,72,82,81,82,79,80,78,81,84,82,76,75,80,79,75,86,5,5,5,,,☆,〇,〇,〇,,☆,,,,,〇,〇,〇,〇,,,,,
100,ネネ,ST,CF,OMF,SMF,,両,B,181,左,82,70,71,77,69,76,74,81,88,71,86,84,88,84,84,74,89,90,86,68,70,82,74,74,73,5,4,3,,〇,,,,〇,〇,〇,,,,,,,,〇,,,,,
101,ロビー・キーン,CF,ST,,,,,B,175,右,86,65,72,87,80,86,88,88,75,77,74,71,70,70,85,73,85,72,74,70,75,78,88,91,78,7,5,5,,,☆,☆,,,〇,〇,,☆,,,〇,〇,〇,,,,,,
102,クローゼ,CF,ST,,,,,B,182,右,86,68,76,77,73,76,88,81,77,79,74,72,70,67,88,77,86,72,68,92,94,78,77,79,82,5,5,3,,,,〇,,,〇,〇,,〇,,,〇,〇,〇,,☆,,,,
103,アイマール,OMF,ST,,,,,C,169,右,81,69,72,74,74,79,75,84,80,77,87,83,84,81,79,75,80,84,82,74,79,87,71,75,74,3,4,3,,,,,〇,〇,,,,,,,〇,,〇,〇,,,,,
104,ダビド・ピサーロ,DMF,CMF,,,,右,C,170,右,76,72,72,80,74,76,76,86,84,83,88,90,86,81,73,79,75,78,77,68,70,81,80,73,85,5,5,4,〇,,,,☆,☆,,,,,,,〇,,〇,〇,,,,,
105,オーウェン,CF,WG,,,,両,C,173,右,86,65,73,71,76,79,86,87,81,82,74,72,70,69,90,70,87,71,72,84,88,82,79,87,79,3,5,5,,〇,,☆,,,〇,〇,,☆,,,,〇,〇,,,,,,
106,カモラネージ,SMF,WG,CMF,,,利,B,174,右,83,72,72,79,76,78,75,77,85,77,84,76,86,74,77,77,76,77,83,79,83,85,76,73,82,4,6,6,,〇,,,〇,,,,,,,,,〇,〇,〇,,,,,
107,ディ・ヴァイオ,CF,ST,WG,,,両,B,179,右,86,65,73,76,75,81,90,78,77,75,74,77,71,69,88,77,84,80,79,83,76,80,82,87,76,5,6,5,,,,☆,,,〇,〇,,☆,,,,〇,〇,,,,,,
